CARRIER,ORIGIN,DESTINATION,TS1,LEG0
OOLU,USNYC,GBSOU,,;ATE1;
OOLU,USNYC,GBSOU,NLRTM;GBFXT,;ATE1;;
OOLU,USNYC,GBSOU,DEBRV;GBLIV,;ATE1;GEX1;
OOLU,USORF,ITGOA,,;ATM1;
ONEY,ITAOI,PHMNL,GRPIR;SGSIN,;MD2;PH2
ONEY,ITAOI,PHMNL,EGDAM;SGSIN,;MD1;PH2
ONEY,ITAOI,PHMNL,GRPIR;SGSIN,;MD2;PHX
ONEY,ITAOI,PHMNL,EGDAM;SGSIN,;MD1;PHX
ONEY,ITAOI,PHMNL,GRPIR;KRPUS,;MD2;JPH
OOLU,USSAV,AUSYD,HKHKG,;ECX1;A3S;
OOLU,USSAV,AUSYD,SGSIN,;;AAA1;
OOLU,USSAV,AUSYD,CNNGB,;ECX2;A3C;
OOLU,USSAV,SEGOT,NLRTM,;ATE1;SNX1;
OOLU,USSAV,SEGOT,NLRTM,;ATE1;GBD1;
OOLU,VNSGN,AUBNE,VNITC;SGSIN,;KTX1;AAA1;
OOLU,VNSGN,AUBNE,VNITC;SGSIN,;KTX1;ASA;
OOLU,VNSGN,AUBNE,VNCLI;SGSIN,;VTS;ASA;
OOLU,VNSGN,AUBNE,VNCLI;SGSIN,;VTS;AAA1;
ZIMU,PRSJU,MXVER,,CCS
OOLU,VNSGN,GBFXT,VNITC;SGSIN,;KTX1;LL1;
OOLU,VNSGN,GBFXT,VNITC;SGSIN,;KTX1;LL6;
OOLU,VNSGN,GBFXT,VNTOT;GBSOU,;LL5;
OOLU,VNSGN,GBFXT,VNITC;SGSIN;GBSOU,;KTX1;LL5;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN,;VTS;LL1;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN,;VTS;LL6;
OOLU,VNSGN,GBFXT,VNCLI;SGSIN;GBSOU,;VTS;LL5;
ONEY,LTKLJ,INNSA,NLRTM,BBX;IOS
ONEY,LTKLJ,INNSA,NLRTM;SAJED,BBX;IOS;IEX
ONEY,LTKLJ,INNSA,NLRTM,BBX;IO2
ZIMU,ROCND,ILHFA,,LBX
OOLU,VNSGN,NLRTM,VNTOT;BEANR,;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL6;
OOLU,VNSGN,NLRTM,VNTOT,;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL2;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL7;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL3;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL2;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL7;
OOLU,VNSGN,NLRTM,VNITC;SGSIN;BEANR,;KTX1;LL5;
OOLU,VNSGN,NLRTM,VNITC;SGSIN,;KTX1;LL4;
OOLU,VNSGN,NLRTM,VNTOT,;LL3;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL6;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL5;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL2;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN;BEANR,;VTS;LL7;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL3;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN;BEANR,;VTS;LL2;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL7;
OOLU,VNSGN,NLRTM,VNCLI;SGSIN,;VTS;LL4;
ZIMU,SIKOP,ILHFA,,ADE
OOLU,ZADUR,AUFRE,SGSIN,;SAF3;AAA2;
OOLU,ZADUR,AUFRE,SGSIN,;SAF2;AAA2;
ZIMU,THLCH,AUFRE,,TFX
OOLU,AUMEL,CNSHA,,;A3N;
OOLU,AUMEL,CNSHA,,;A3C;
OOLU,AUMEL,CNSHA,CNNGB,;A3C;
ZIMU,USHOU,INMUN,CNSHA,ZGC;CI4
OOLU,BEANR,ILHFA,,;NET2;
OOLU,BEANR,ILHFA,NLRTM,;NET2;
OOLU,BEANR,INMAA,,;IP3;
OOLU,BEANR,INMAA,SAJED,;LL5;IP3;
OOLU,BEANR,INMAA,NLRTM,;IP3;
OOLU,BEANR,INMAA,NLRTM;SAJED,;LL5;IP3;
ONEY,MYPKG,USJAX,SGSIN,TIP;EC5
ONEY,MYPKG,USJAX,SGSIN,JSM;EC5
ONEY,MYPKG,USJAX,SGSIN,TE1;EC5
ONEY,MYPKG,USJAX,SGSIN,PS3;EC5
ZIMU,USSAV,BRNVT,,XNS
OOLU,CAMTR,IEDUB,GBSOU,;GEX2;UIS;
ZIMU,BGVAR,ILASH,TRAMR,LBX;TBX
ZIMU,BGVAR,ILASH,TRALI,LBX;TBX
OOLU,CNCZX,GBSOU,CNSHA;GBFXT,;LL1;
OOLU,CNCZX,GBSOU,CNSHA;GBFXT,;LL6;
