SCAC,POL,POD
COSU,CNSHA,USLGB
COSU,CNSHA,AUMEL
COSU,CNSHA,AUSYD
COSU,FIHEL,SGSIN
COSU,CNYTN,USLGB
COSU,MXZLO,INMAA
COSU,CNSHA,USCHS
COSU,CNSHA,ZADUR
COSU,USOAK,INNSA
COSU,CNSHA,AEJEA
COSU,NLRTM,CNTXG
COSU,INMUN,DEHAM
COSU,CNSHA,NZAKL
COSU,CNXMN,PLGDN
COSU,CNSHA,NLRTM
COSU,DEBRV,USCHS
COSU,CNSHA,AUBNE
COSU,FIHEL,CLSAI
COSU,SGSIN,ZADUR
COSU,CNSHA,INMAA
COSU,AUBNE,IDSUB
COSU,AEJEA,SADMM
COSU,CNNGB,AUMEL
COSU,CNSHA,CAPRR
COSU,SGSIN,NZAKL
COSU,BEANR,CNSHA
COSU,INNSA,ITGOA
COSU,CNTAO,CAPRR
COSU,DEHAM,CNSHA
COSU,DEHAM,CNTXG
COSU,CNSHA,INNSA
COSU,FIHEL,CNSHA
COSU,CNYTN,CAVAN
COSU,CNJMN,GBFXT
COSU,CNSHA,USNYC
COSU,CNSHA,USLAX
COSU,CNJMN,ITSPE
COSU,CNTAO,NLRTM
COSU,IDJKT,BEANR
COSU,CNSHK,AUSYD
COSU,INNSA,DEHAM
COSU,CNYTN,USLAX
COSU,CNYTN,USNYC
COSU,CNNGB,ALDRZ
COSU,CNSHA,DEHAM
COSU,VNHPH,AUMEL
COSU,VNSGN,INKAT
COSU,SGSIN,AUMEL
COSU,DEBRV,USORF
COSU,DEWVN,VNSGN
COSU,CNSHK,AEJEA
COSU,CNSHA,USBOS
COSU,THBKK,AUMEL
COSU,INNSA,SIKOP
COSU,CNNGB,AUSYD
COSU,TWKHH,MXZLO
COSU,MYPEN,USCHS
COSU,ITGOA,USNYC
COSU,CNSHA,USSAV
COSU,CNQZH,USLGB
COSU,DEHAM,CNDLC
COSU,CNSHA,MXZLO
COSU,DEBRV,USNYC
COSU,DEHAM,BRSSZ
COSU,CNSHA,ZACPT
COSU,USLGB,INNSA
COSU,CNTAO,BRSSZ
COSU,HRRJK,HKHKG
COSU,NLRTM,THLCH
COSU,SGSIN,AUBNE
COSU,VNHPH,AEJEA
COSU,IDJKT,CNSHA
COSU,CNJMN,GBSOU
COSU,THBKK,AUSYD
COSU,INNSA,USNYC
COSU,THLCH,AUSYD
COSU,THBKK,AUBNE
COSU,CNNGB,AEJEA
COSU,TRALI,DEHAM
COSU,CNTAO,GBFXT
COSU,CNSHA,PLGDN
COSU,CNTAO,DEHAM
