CARRIER,CODE,NAME
ACLU,AL2,ATLANTIC SERVICE - LOOP 2
ACLU,AL4,ATLANTIC SERVICE 4
ACLU,ATA,A-SERVICE
AMLU,MIAMI-DOMINICAN_REP,MIAMI - DOMINICAN REPUBLIC SERVICE
AMLU,MIAMI-HAITI,MIAMI - HAITI SERVICE
AMLU,MIAMI-RIO_HAINA,MIAMI - RIO HAINA SERVICE
AMLU,PORT-AU-PRINCE,PORT - AU - PRINCE SERVICE
ANLC,AAX1,AAX1
ANLC,AAX2,AAX2
ANLC,PAX,PAX
ANLC,WESTPAC,WESTPAC
ANNU,AAXEANL,SOUTH EAST ASIA - AUSTRALIA EAST CHINA LOOP SERVICE
ANNU,AAXSANL,SOUTH EAST ASIA - AUSTRALIA SOUTH LOOP SERVICE
ANNU,AAXWANL,SOUTH EAST ASIA - AUSTRALIA WEST CHINA LOOP SERVICE
ANNU,ACSA1,ASIA CENTRAL SOUTH AMERICA SERVICE 1
ANNU,ACSA2,ASIA CENTRAL SOUTH AMERICA 2
ANNU,ACSA3,ASIA CENTRAL SOUTH AMERICA SERVICE 3
ANNU,ALTAMIRA,ALTAMIRA EXPRESS SERVICE
ANNU,AMERIGO,AMERIGO SERVICE
ANNU,ANZ,FIJI - WALLIS - FUTUNA SERVICE
ANNU,ANZ SHUTTLE,AUSTRALIA NOUMEA NEWZEALAND SERVICE
ANNU,ANZEX,ANZEX
ANNU,APRANL-MADANG,ASIA - PAPUA NEW GUINEA SERVICE
ANNU,ASAFGR,ASIA WEST AFRICA SERVICE
ANNU,ASEA,ASEA TANZANIA SERVICE
ANNU,ASEA2,ASEA KENYA SERVICE
ANNU,AS1,ASIA SUBCONTINENT EXPRESS SERVICE
ANNU,AS6,ASIA SUBCONTINENT EXPRESS SERVICE 6
ANNU,AS8,ASIA SUBCONTINENT EXPRESS SERVICE 8
ANNU,AS9,ASIA SUBCONTINENT EXPRESS SERVICE 9
ANNU,AZTECAF2,AZTECA FEEDER SERVICE 2
ANNU,A3C,Central China <> Australia
ANNU,A3N,AUSTRALIA - NORTHERN EXPRESS SERVICE
ANNU,A3S,AUSTRALIA - SOUTHERN EXPRESS SERVICE
ANNU,BBXCNC,BENGAL BAY EXPRESS SERVICE
