scac,pol,pod,tsp,service_codes
COSU,CNTXG,AUMEL,CNNGB,;A3C
COSU,CNTXG,AUMEL,CNNGB,CII;A3C
COSU,KHKOS,AEJEA,SGSIN,SHS2;
COSU,KHKOS,AEJEA,SGSIN,SHS2;MEX4
COSU,KHKOS,AEJEA,SGSIN,SHS2;MEX
COSU,KHKOS,AEJEA,SGSIN,SHS;AGI
COSU,CAPRR,TWKHH,CNTAO,CEN;CTW1
COSU,CAPRR,TWKHH,HKHKG,CPNW;OPNW
COSU,HRRJK,AUSYD,GRPIR;SGSIN,AGT;AEM1;AAA2
COSU,HRRJK,AUSYD,GRPIR;SGSIN,AGT;AEM1;AAA1
COSU,HRRJK,AUSYD,MYPKG,;AAA2
COSU,HRRJK,AUSYD,MYPKG,;ASAL
COSU,HRRJK,AUSYD,GRPIR;SGSIN,PRS;AEM1;ASAL
COSU,HRRJK,AUSYD,GRPIR;SGSIN,PRS;AEM1;AAA2
COSU,HRRJK,AUSYD,GRPIR;SGSIN,PRS;AEM1;AAA1
MAEU,NZTRG,AUBNE,AUSYD,;
MAEU,INTUT,USHOU,LKCMB;OMSLL,;;
MAEU,INTUT,USHOU,LKCMB;OMSLL,;;;;
MSCU,IDSUB,USLGB,SGSIN;VNVUT,;;SENTOSA
MSCU,IDSUB,USLGB,VNVUT,;SENTOSA
MSCU,CNXMN,IEDUB,MYTPP;BEANR,;LION SERVICE;
MSCU,CNXMN,IEDUB,MYTPP;BEANR,;;
MSCU,USNYC,QAHMD,SAKAC;AEAUH,;;
COSU,THLCH,AUBNE,HKHKG,NCT;CAP
COSU,THLCH,AUBNE,,AAA1
COSU,THLCH,AUBNE,HKHKG,CTJ;CAP
COSU,MXVER,TTPOS,JMKIN,BZX;ECX
COSU,CAVAN,CNSHA,,EPNW
COSU,CAVAN,CNSHA,,CPNW
COSU,CAVAN,CNSHA,,MPNW
COSU,HRRJK,CNYTN,GRPIR,PRS;AEM1
COSU,HRRJK,CNYTN,GRPIR,PRS;
COSU,HRRJK,CNYTN,GRPIR,AGT;AEM1
COSU,HRRJK,CNYTN,GRPIR,AGT;
MAEU,ITVDL,BRSSZ,MAPTM,;
MSCU,INMUN,GBFXT,,
MSCU,CNXMN,USNYC,SGSIN,;
MSCU,CNXMN,USNYC,,
MSCU,PLGDY,IQUQR,FRLEH;AEAUH,;;
MSCU,PLGDY,IQUQR,BEANR;AEAUH,;;
MSCU,USNYC,UYMVD,,
COSU,BEANR,CLSAI,,EWX
COSU,MYPEN,USLGB,HKHKG,KCM2;SEA
COSU,MYPEN,USLGB,CNSHA,;CEN
COSU,MYPEN,USLGB,CNXMN,;AAC
COSU,CAVAN,MYPKG,CNNGB,CPNW;PA1
COSU,CAVAN,MYPKG,CNNGB,MPNW;PA1
COSU,HRRJK,ILASH,GRPIR,AGT;LGX1
COSU,HRRJK,ILASH,GRPIR,AGX;LGX1
COSU,HRRJK,ILASH,GRPIR,PRS;LGX1
MAEU,VNVUT,CAVAN,CNXMN,;;
MAEU,ITVDL,INENR,OMSLL,;
MSCU,CNTXG,PLGDN,,
MSCU,DEBRV,AUADL,MYTPP,;CAPRICORN SERVICE
MSCU,PTSIE,BRSSZ,,
MSCU,USORF,AUBNE,MYTPP,;
COSU,DEHAM,AUSYD,MYPKG,AEU2;AAA2
COSU,DEHAM,AUSYD,MYPKG,AEU2;ASAL
COSU,DEHAM,AUSYD,SGSIN,;ASAL
COSU,DEHAM,AUSYD,SGSIN,;AAA1
COSU,DEHAM,AUSYD,SGSIN,;AAA2
COSU,DEHAM,AUSYD,TWKHH,AEU5;A3N
COSU,DEHAM,AUSYD,CNSHA,AEU3;A3C
COSU,DEHAM,AUSYD,CNNGB,AEU3;A3C
COSU,NLRTM,TRMER,,NET2
COSU,CAVAN,NZAKL,CNSHA,CPNW;JKN
COSU,CAVAN,NZAKL,CNSHA,MPNW;JKN
COSU,HRRJK,ILHFA,GRPIR,AGT;NET2
COSU,HRRJK,ILHFA,GRPIR,AGX;NET2
COSU,HRRJK,ILHFA,GRPIR,PRS;NET2
MAEU,AEJEA,ZADUR,,
MAEU,NLRTM,PHMNL,MYTPP,;
MAEU,NLRTM,PHMNL,SGSIN,;
MSCU,DEBRV,NZAKL,MYTPP,;
MSCU,DEBRV,SADMM,FRLEH;AEAUH,;;
MSCU,PTSIE,FIHEL,BEANR,;
MSCU,USORF,ITGOA,,
COSU,BEANR,CNTXG,,AEU3
COSU,BEANR,CNTXG,,
COSU,PLGDN,HKHKG,CNYTN,AEU1;JCV
COSU,PLGDN,HKHKG,SGSIN,AEU1;
COSU,PLGDN,HKHKG,DEHAM,PLX1;
MAEU,CLSVE,AUFRE,PABLB;AUSYD,;;;
MAEU,NLRTM,TWKEL,MYTPP,;
MAEU,NLRTM,TWKEL,SGSIN,;
MSCU,TRIZM,SEGOT,BEANR,;
MSCU,ESVLC,BRIOA,,
MSCU,USORF,JPOSA,KRPUS,;
COSU,CNXMN,DEWVN,SGSIN;DEHAM,AEU1;AEU3
COSU,CNXMN,DEWVN,,AEU1
COSU,CNXMN,DEWVN,PLGDN;DEHAM,AEU1;RFS
COSU,CNXMN,DEWVN,SGSIN;DEHAM,AEU1;AEU2
COSU,CNXMN,DEWVN,DEHAM,
COSU,ROCND,USSAV,GRPIR,;EMA
COSU,ROCND,USSAV,GRPIR,TBX1;EMA
COSU,CNDLC,AEAUH,CNNGB;AEKHL,PA1;MEX
COSU,CNDLC,AEAUH,CNNGB;AEKHL,AEU3;MEX
COSU,CNDLC,AEAUH,CNNGB;AEKHL,CSE;MEX
COSU,IDJKT,BGVAR,SGSIN;GRPIR,IHX;AEM1;TBX1
COSU,IDJKT,BGVAR,SGSIN;GRPIR,IHX;AEU3;TBX1
COSU,IDJKT,BGVAR,SGSIN;GRPIR,CSE;AEU3;TBX1
COSU,IDJKT,BGVAR,SGSIN;GRPIR,CSE;AEM1;TBX1
COSU,IDJKT,BGVAR,SGSIN;GRPIR,MTS;AEM1;TBX1
COSU,IDJKT,BGVAR,SGSIN;GRPIR,MTS;AEU3;TBX1
MAEU,CNNGB,LVRIX,PLGDN,;
MAEU,PKQCT,MXLZC,ESALG;PABLB,;;
MSCU,USORF,BEANR,,
MSCU,HKHKG,BRMAO,KRPUS;PACTB,IPANEMA SERVICE;;
MSCU,THLCH,TRTEK,SGSIN,;
MSCU,USPEF,BRRIO,,
COSU,MYPKG,AUMEL,,ASAL
COSU,MYPKG,AUMEL,,AAA2
COSU,SIKOP,HKHKG,MYPKG,;MEX5
COSU,SIKOP,HKHKG,GRPIR,AGT;AEM1
COSU,SIKOP,HKHKG,GRPIR,AGT;
COSU,CNFOC,BEANR,CNXMN;BEZEE,CF31;AEU1
COSU,CNFOC,BEANR,CNXMN;FRFOS,CF31;
COSU,CNFOC,BEANR,CNXMN;GRPIR,CF31;;AEU3
COSU,CNFOC,BEANR,CNXMN;BEZEE,CF31;
COSU,CNFOC,BEANR,SGSIN;FRFOS,ZAX2;AEM1
COSU,CNFOC,BEANR,CNNGB;BEZEE,CF21;AEU1
COSU,CNFOC,BEANR,CNNGB,CF21;AEU3
COSU,CNFOC,BEANR,CNNGB,CF21;
COSU,CNFOC,BEANR,CNNGB;FRFOS,CF21;AEM1
COSU,CNFOC,BEANR,CNNGB,CF21;AEU6
COSU,CNFOC,BEANR,HKHKG;FRFOS,CV3;AEM1
COSU,IDJKT,ECGYE,CNSHA,CKI;WSA2
COSU,IDJKT,ECGYE,CNSHA,CTI1;WSA2
COSU,IDJKT,ECGYE,CNSHA,CIT;WSA2
MAEU,DEHAM,SAJED,,
MAEU,ROCND,JPTMK,EGPSE;SGSIN;CNSHA;JPYOK,;AE11;;;
MSCU,TRGEM,ITTRS,,
MSCU,HKHKG,NLRTM,CNYTN,PEARL SERVICE;LION SERVICE
MSCU,TRALI,ESBCN,ESVLC,;
MSCU,USPHL,CLARI,PACTB;PECLL,;;LLAMA SERVICE
COSU,CNSHK,AUMEL,,A3S
COSU,SIKOP,KRPUS,,
COSU,CNHUA,VNCLI,CNNSA;VNSGN,;CVX1
COSU,IDSRG,AUMEL,SGSIN,SRX1;AAA1
COSU,IDSRG,AUMEL,SGSIN,SRX1;ASAL
COSU,IDSRG,AUMEL,SGSIN,SRX1;AAA2
COSU,IDSRG,AUMEL,SGSIN,SRX2;AAA1
COSU,IDSRG,AUMEL,SGSIN,SRX2;AAA2
COSU,IDSRG,AUMEL,SGSIN,ITS;AAA1
COSU,IDSRG,AUMEL,SGSIN,ITS;ASAL
COSU,IDSRG,AUMEL,SGSIN,SRX2;ASAL
COSU,IDSRG,AUMEL,SGSIN,ITS;AAA2
MAEU,PECLL,GBSOU,PABLB;PAMIT,;;
MAEU,SIKOP,SAKAC,,
MSCU,CNTXG,CAVAN,KRPUS,;CHINOOK
MSCU,CNTXG,CAVAN,KRPUS,;
MSCU,INCCU,NLRTM,LKCMB,;
MSCU,TRGEM,ZADUR,PTSIE,;
MSCU,USSAV,ECGYE,BSFPO,;
MSCU,USSAV,ECGYE,DOCAU;PAROD,;;
COSU,CNTAO,ALDRZ,GRPIR,AEU3;AIG
COSU,CNTAO,ALDRZ,GRPIR,AEM1;AIG
COSU,AUMEL,VNSGN,HKHKG,A3S;CVX1
COSU,AUMEL,VNSGN,SGSIN,ASAL;IHX
COSU,AUMEL,VNSGN,SGSIN,AAA1;IHX
COSU,AUMEL,VNSGN,SGSIN;VN7BR,AAA1;KTX6
COSU,AUMEL,VNSGN,SGSIN;VN7BR,ASAL;KTX6
COSU,AUMEL,VNSGN,CNSHA,A3C;CV2
COSU,AUMEL,VNSGN,SGSIN,AAA2;IHX
COSU,AUMEL,VNSGN,SGSIN;VN7BR,AAA2;KTX6
COSU,CNJIU,ESVLC,CNSHA,CB31;
